MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST,model_year
acura,mdx 4dr suv awd,14,492,196,171,282,1970,118,186,40,89,120,98,111,169,168,58/42,mdx 4dr suv awd14
acura,rlx 4dr sedan awd hybrid,13,499,190,146,285,1980,133,56,37,80,113,100,114,163,163,57/43,rlx 4dr sedan awd hybrid13
audi,a3 cabriolet,14,444,180,136,260,1625,120,64,31,81,126,87,97,154,151,60/40,a3 cabriolet14
audi,a3 sedan 1.8 tfsi/2.0tdi,14,446,180,142,264,1440,120,47,34,78,108,87,95,156,153,60/40,a3 sedan 1.8 tfsi/2.0tdi14
audi,a3 sedan 2.0 tfsi,14,446,180,142,264,1525,120,47,34,78,108,87,95,156,153,60/40,a3 sedan 2.0 tfsi14
audi,a4 allroad 2.0 tfsi quattro,13,472,184,147,281,1765,136,152,33,80,108,88,103,158,157,53/47,a4 allroad 2.0 tfsi quattro13
audi,a6 4dr sedan 2.0 tfsi quattro,11,492,187,146,291,1795,140,58,37,80,111,92,109,163,162,55/45,a6 4dr sedan 2.0 tfsi quattro11
audi,a6 4dr sedan 3.0 tfsi quattro,11,492,187,146,291,1860,140,58,37,80,111,92,109,163,162,55/45,a6 4dr sedan 3.0 tfsi quattro11
audi,a6 4dr sedan tdi quattro,11,492,187,146,291,1895,140,58,37,80,111,92,109,163,162,55/45,a6 4dr sedan tdi quattro11
audi,a7 4dr sportback 3.0 tfsi quattro/tdi quattro,11,497,191,142,291,1910,140,230,34,78,112,93,112,164,164,54/46,a7 4dr sportback 3.0 tfsi quattro/tdi quattro11
audi,rs7 4dr sportback 4.0 tfsi quattro,14,501,191,142,291,2030,144,232,34,78,112,97,114,164,164,54/46,rs7 4dr sportback 4.0 tfsi quattro14
audi,s3 sedan tfsi quattro,14,447,180,142,264,1565,120,47,34,78,108,87,95,155,153,60/40,s3 sedan tfsi quattro14
audi,s6 4dr sedan 4.0 tfsi quattro,11,492,187,146,291,1995,140,58,37,80,111,92,109,163,162,55/45,s6 4dr sedan 4.0 tfsi quattro11
audi,s7 4dr sportback 4.0 tfsi quattro,11,497,191,142,291,2045,140,230,34,78,112,93,112,164,164,54/46,s7 4dr sportback 4.0 tfsi quattro11
bmw,2 series 228i 2dr coupe rwd,14,443,177,142,268,1460,134,53,34,81,104,78,96,152,156,53/47,2 series 228i 2dr coupe rwd14
bmw,2 series m235i 2dr coupe rwd,14,443,177,142,268,1530,134,53,34,81,104,78,96,152,156,53/47,2 series m235i 2dr coupe rwd14
bmw,2 series m235i xdrive 2dr coupe awd,14,443,177,142,268,1600,134,53,34,81,104,78,96,152,156,50/50,2 series m235i xdrive 2dr coupe awd14
bmw,3 series 320i 4dr sedan rwd,12,463,181,143,281,1474,137,52,37,77,109,78,104,154,158,50/50,3 series 320i 4dr sedan rwd12
bmw,3 series 320i xdrive 4dr sedan awd,12,463,181,143,281,1565,137,52,37,77,109,78,104,154,158,50/50,3 series 320i xdrive 4dr sedan awd12
bmw,3 series 328d xdrive 4dr sedan awd,12,463,181,143,281,1642,137,52,37,77,109,78,104,154,158,50/50,3 series 328d xdrive 4dr sedan awd12
bmw,3 series 328i 4dr sedan rwd,12,463,181,143,281,1524,137,52,37,77,109,78,104,154,158,50/50,3 series 328i 4dr sedan rwd12
bmw,3 series 328i xdrive 4dr sedan awd,12,463,181,143,281,1630,137,52,37,77,109,78,104,154,158,50/50,3 series 328i xdrive 4dr sedan awd12
bmw,3 series 328i xdrive gran turismo,14,483,183,151,292,1776,141,119,38,82,108,81,110,154,159,49/51,3 series 328i xdrive gran turismo14
bmw,3 series 335i xdrive gran turismo,14,483,183,151,292,1819,141,119,38,82,108,81,110,154,159,49/51,3 series 335i xdrive gran turismo14
bmw,3 series 340i 4dr sedan rwd,12,463,181,143,281,1608,137,52,37,77,109,78,104,154,158,52/48,3 series 340i 4dr sedan rwd12
bmw,3 series 340i xdrive 4dr sedan awd,12,463,181,143,281,1676,137,52,37,77,109,78,104,154,158,52/48,3 series 340i xdrive 4dr sedan awd12
bmw,3 series touring 328d xdrive 4dr wagon,13,463,181,143,281,1719,137,163,37,77,103,78,104,153,157,49/51,3 series touring 328d xdrive 4dr wagon13
bmw,3 series touring 328i xdrive 4dr wagon,13,463,181,143,281,1715,137,163,37,77,103,78,104,153,157,49/51,3 series touring 328i xdrive 4dr wagon13
bmw,4 series  428i 2dr cabriolet rwd,14,464,183,138,281,1812,137,65,35,80,124,79,104,155,159,50/50,4 series  428i 2dr cabriolet rwd14
bmw,4 series  428i 2dr coupe rwd,14,464,183,138,281,1551,137,53,35,80,106,79,104,155,159,50/50,4 series  428i 2dr coupe rwd14
bmw,4 series  428i xdrive 2dr cabriolet awd,14,464,183,138,281,1887,137,65,35,80,124,79,104,155,159,50/50,4 series  428i xdrive 2dr cabriolet awd14
bmw,4 series  428i xdrive 2dr coupe awd,14,464,183,138,281,1649,137,53,35,80,106,79,104,155,159,50/50,4 series  428i xdrive 2dr coupe awd14
