id,name,country,wmi,vehicletype
987,"HONDA MOTOR CO., LTD",,JHM,Passenger Car
988,"HONDA OF AMERICA MFG., INC.",United States (USA),1HG,Passenger Car
989,"HONDA MFG., ALABAMA., LLC.",United States (USA),5KB,Passenger Car
990,"HONDA OF CANADA MFG., INC.",Canada,2HG,Passenger Car
991,"HONDA OF THE U.K. MFG., LTD.",United Kingdom (UK),SHH,Passenger Car
992,HONDA DE MEXICO,Mexico,3HG,Passenger Car
993,"HONDA MFG., INDIANA., LLC.",,19X,Passenger Car
987,"HONDA MOTOR CO., LTD",,JH4,Passenger Car
987,"HONDA MOTOR CO., LTD",,JHL,Multipurpose Passenger Vehicle (MPV)
987,"HONDA MOTOR CO., LTD",,JH1,"Truck "
988,"HONDA OF AMERICA MFG., INC.",United States (USA),19U,Passenger Car
988,"HONDA OF AMERICA MFG., INC.",United States (USA),5J6,Multipurpose Passenger Vehicle (MPV)
988,"HONDA OF AMERICA MFG., INC.",United States (USA),5J8,Multipurpose Passenger Vehicle (MPV)
988,"HONDA OF AMERICA MFG., INC.",United States (USA),5J7,"Truck "
988,"HONDA OF AMERICA MFG., INC.",United States (USA),5J0,"Truck "
989,"HONDA MFG., ALABAMA., LLC.",United States (USA),5KC,Passenger Car
989,"HONDA MFG., ALABAMA., LLC.",United States (USA),5FN,Multipurpose Passenger Vehicle (MPV)
989,"HONDA MFG., ALABAMA., LLC.",United States (USA),5FR,Multipurpose Passenger Vehicle (MPV)
989,"HONDA MFG., ALABAMA., LLC.",United States (USA),5FP,"Truck "
989,"HONDA MFG., ALABAMA., LLC.",United States (USA),5FS,"Truck "
990,"HONDA OF CANADA MFG., INC.",Canada,2HH,Passenger Car
990,"HONDA OF CANADA MFG., INC.",Canada,2HK,Multipurpose Passenger Vehicle (MPV)
990,"HONDA OF CANADA MFG., INC.",Canada,2HN,Multipurpose Passenger Vehicle (MPV)
990,"HONDA OF CANADA MFG., INC.",Canada,2HJ,"Truck "
990,"HONDA OF CANADA MFG., INC.",Canada,2HU,"Truck "
991,"HONDA OF THE U.K. MFG., LTD.",United Kingdom (UK),SHS,Multipurpose Passenger Vehicle (MPV)
992,HONDA DE MEXICO,Mexico,3CZ,Multipurpose Passenger Vehicle (MPV)
1154,"AMERICAN HONDA MOTOR CO., INC.",,JH2,Motorcycle
1154,"AMERICAN HONDA MOTOR CO., INC.",,1HF,Motorcycle
988,"HONDA OF AMERICA MFG., INC.",Belgium,YC1,Motorcycle
1154,"AMERICAN HONDA MOTOR CO., INC.",,3H1,Motorcycle
993,"HONDA MFG., INDIANA., LLC.",United States (USA),19V,Passenger Car
1154,"AMERICAN HONDA MOTOR CO., INC.",,ZDC,Motorcycle
1154,"AMERICAN HONDA MOTOR CO., INC.",,MLH,Motorcycle
14790,"SUNDIRO HONDA MOTORCYCLE CO., LTD.",China,LAL,Motorcycle
1154,"AMERICAN HONDA MOTOR CO., INC.",,RLH,Motorcycle
1154,"AMERICAN HONDA MOTOR CO., INC.",,VTM,Motorcycle
1154,"AMERICAN HONDA MOTOR CO., INC.",,LWB,Motorcycle
12142,"CHONGQING GUANGYU MOTORCYCLE MANUFACTURE CO., LTD.",China,LRY,Motorcycle
11163,"CHONGQING HI-BIRD MOTORCYCLE INDUSTRY CO., LTD.",China,LSR,Motorcycle
12294,"CHONGQING KAIER MOTORCYCLE MANUFACTURING CO.,",China,LYE,Motorcycle
10479,"CHONGQING KINLON MOTORCYCLE MANUFACTURE CO., LTD",China,LLC,Motorcycle
11366,"CHONGQING HUANSONG INDUSTRIES (GROUP) CO., LTD.",China,LWG,Motorcycle
1471,"CHONGQING RATO POWER CO., LTD.",China,LRP,Motorcycle
6877,"CHONGQING YINXIANG MOTORCYCLE (GROUP) CO., LTD.",China,LB4,Motorcycle
1154,"AMERICAN HONDA MOTOR CO., INC.",United States (USA),JR2,Multipurpose Passenger Vehicle (MPV)
10754,"WUXI JINHONG MOTORCYCLE CO., LTD",China,LC3,Motorcycle
6460,"JOYHON, INC.",United States (USA),1J9390,Trailer
6108,"CHANGZHOU ZHONGMAO MACHINERY CO., LTD",China,L0H,Trailer
12293,"CHONGQING ASTRONAUTICAL BASHAN MOTORCYCLE MANUFACTURER.CO., LTD,",China,LHJ,Motorcycle
11400,MARATHON METALWORKS,United States (USA),1M9822,Trailer
11152," CHONGQING HENSIM GROUP CO., LTD.",China,LUA,Motorcycle
8891,"QINGQI GROUP NINGBO RHON MOTORCYCLE CO., LTD",China,L4Y,Motorcycle
13493,"JIANGMEN SINO-HONGKONG BAOTIAN MOTORCYCLE INDUSTRIAL CO., LTD.",China,L82,Motorcycle
7575,SHANDONG ZHONGTONG FEIYAN AUTOMOBILE CO. LTD.,United States (USA),L69FYK,Motorcycle
9274,"TAIZHOU ZHONGNENG MOTORCYCLE CO., LTD.",China,L5Y,Motorcycle
1327,"SHANGHAI HUIZHONG AUTOMOTIVE MANUFACTURING CO., LTD",China,LSB,Trailer
8915,"SHANGHAI HONLING MOTORCYCLE MANUFACTURE CO., LTD.",China,LLA,Motorcycle
