style,size,name,model_year, reg_years ,deaths_f25_65,total_deaths,death.rate,adj.death.rate,ci_l,ci_u
All,All,.,2011," 92,639,411 ",534,"2,822",30,30,29,32
4DCar,Mini,Total,2011," 1,557,612 ",34,121,78,87,69,105
4DCar,Mini,Mazda 2,2011," 151,772 ",0,8,53,40,12,68
4DCar,Mini,Ford Fiesta,2011," 364,429 ",6,30,82,83,49,118
4DCar,Mini,Nissan Versa,2012," 405,264 ",10,34,84,95,58,132
4DCar,Mini,Chevrolet Spark,2013," 119,409 ",3,10,84,96,28,164
4DCar,Mini,Kia Rio,2012," 139,545 ",4,12,86,102,36,168
4DCar,Mini,Hyundai Accent,2012," 264,546 ",9,21,79,104,53,155
4DCar,Small,Total,2011," 11,354,620 ",107,458,40,43,38,47
4DCar,Small,Chevrolet Volt,2011," 143,042 ",1,1,7,7,0,39
4DCar,Small,Nissan Leaf,2011," 126,702 ",0,1,8,8,0,44
4DCar,Small,Nissan Juke 2WD,2011," 195,060 ",0,4,21,15,0,31
4DCar,Small,Hyundai Elantra GT,2013," 107,488 ",1,3,28,28,6,82
4DCar,Small,Toyota Prius,2011," 1,290,605 ",6,43,33,31,21,42
4DCar,Small,Dodge Dart,2013," 283,729 ",1,12,42,36,14,59
4DCar,Small,Nissan Juke 4WD,2011," 203,122 ",0,10,49,37,14,61
4DCar,Small,Honda Civic,2012," 1,875,054 ",18,65,35,39,28,49
4DCar,Small,Chevrolet Cruze,2011," 2,220,302 ",20,90,41,42,32,52
4DCar,Small,Toyota Corolla,2014," 316,941 ",3,13,41,43,16,70
4DCar,Small,Toyota Prius C,2012," 250,577 ",1,13,52,44,18,71
4DCar,Small,Hyundai Elantra,2011," 1,509,235 ",14,64,42,44,32,56
4DCar,Small,Chevrolet Sonic,2012," 314,416 ",3,15,48,48,20,76
4DCar,Small,Subaru Impreza 4WD,2012," 117,068 ",2,5,43,54,0,109
4DCar,Small,Volkswagen Golf,2011," 120,918 ",3,5,41,63,2,125
4DCar,Small,Mitsubishi Lancer 2WD,2011," 125,834 ",2,7,56,63,9,116
4DCar,Small,Ford Focus,2012," 1,000,942 ",17,61,61,68,48,88
4DCar,Small,Nissan Sentra,2013," 494,802 ",11,28,57,72,41,102
4DCar,Midsize,Total,2011," 14,659,675 ",117,558,38,39,35,43
4DCar,Midsize,Acura TSX,2011," 200,904 ",0,2,10,10,1,36
4DCar,Midsize,Subaru Legacy 4WD,2011," 428,322 ",2,8,19,20,4,36
4DCar,Midsize,Volkswagen CC 2WD,2011," 198,345 ",1,4,20,22,0,46
4DCar,Midsize,Toyota Camry hybrid,2012," 262,129 ",1,7,27,25,4,46
4DCar,Midsize,Volkswagen Jetta,2011," 1,334,499 ",5,38,28,26,17,36
4DCar,Midsize,Ford Fusion 2WD,2013," 663,035 ",3,19,29,27,13,42
4DCar,Midsize,Buick Verano,2012," 237,674 ",2,7,29,33,5,61
4DCar,Midsize,Hyundai Sonata,2011," 2,313,273 ",14,78,34,33,25,42
4DCar,Midsize,Chevrolet Malibu,2013," 566,300 ",3,22,39,36,19,53
4DCar,Midsize,Honda Accord,2013," 1,001,344 ",9,32,32,36,22,50
4DCar,Midsize,Toyota Camry,2012," 2,256,106 ",21,81,36,39,29,49
4DCar,Midsize,Volkswagen Passat 2WD,2012," 628,643 ",6,25,40,42,23,61
4DCar,Midsize,Kia Optima,2011," 993,563 ",9,44,44,45,30,60
4DCar,Midsize,Hyundai Sonata hybrid,2011," 164,396 ",1,9,55,49,13,85
4DCar,Midsize,Nissan Altima,2013," 978,651 ",10,50,51,52,35,68
4DCar,Midsize,Nissan Maxima,2011," 586,342 ",5,37,63,59,37,80
4DCar,Midsize,Dodge Avenger 2WD,2011," 686,377 ",11,36,52,60,38,83
4DCar,Midsize,Chrysler 200,2011," 834,766 ",13,52,62,67,46,88
4DCar,Large,Total,2011," 3,202,065 ",17,131,41,38,30,45
4DCar,Large,Toyota Avalon,2013," 162,859 ",0,3,18,18,4,54
4DCar,Large,Buick Lacrosse 2WD,2011," 538,306 ",1,16,30,25,12,38
4DCar,Large,Dodge Charger Hemi 2WD,2011," 130,623 ",0,6,46,35,6,63
4DCar,Large,Buick Regal 2WD,2011," 322,208 ",0,17,53,40,21,59
4DCar,Large,Dodge Charger 2WD,2011," 513,315 ",4,20,39,40,20,59
4DCar,Large,Ford Taurus 2WD,2011," 547,352 ",3,25,46,42,23,60
4DCar,Large,Chrysler 300 2WD,2011," 306,891 ",3,13,42,45,17,73
4DCar,Large,Chevrolet Impala,2014," 109,920 ",1,7,64,60,10,110
2DCar,Mini,Total,2011," 550,864 ",3,21,38,36,18,53
2DCar,Mini,Fiat 500,2012," 231,029 ",0,4,17,13,0,26
2DCar,Small,Total,2011," 1,167,056 ",9,58,50,48,34,61
2DCar,Small,Honda Civic,2012," 286,756 ",0,3,10,10,2,31
2DCar,Small,Hyundai Veloster,2012," 162,984 ",0,6,37,28,5,50
2DCar,Small,Volkswagen New Beetle,2012," 157,088 ",1,6,38,37,3,71
2DCar,Small,Scion tC,2011," 188,473 ",3,20,106,101,51,151
2DCar,Midsize,Total,2011," 361,553 ",0,15,41,31,15,47
2DCar,Midsize,Honda Accord,2013," 101,516 ",0,2,20,20,2,71
2DCar,Midsize,Hyundai Genesis coupe,2011," 123,899 ",0,11,89,67,27,107
2DCar,Large,Total,2011," 363,961 ",5,30,82,80,47,113
2DCar,Large,Dodge Challenger,2011," 323,863 ",5,26,80,81,45,116
Sports,Midsize,Total,2011," 893,810 ",6,54,60,54,38,71
Sports,Midsize,Ford Mustang GT coupe,2011," 201,892 ",0,13,64,49,22,76
Sports,Midsize,Ford Mustang coupe,2011," 315,790 ",3,19,60,58,28,87
Sports,Midsize,Ford Mustang convertible,2011," 118,810 ",2,6,51,60,5,115
Sports,Large,Total,2011," 956,332 ",5,54,56,49,35,64
