MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
ACURA,CSX 4DR SEDAN FWD /TECH PACKAGE/TYPE-S,06,454,175,144,270,1300,94,45,36,76,110,92,93,150,151,61/39
ACURA,MDX 4DR SUV AWD /TECH/ELITE,07,484,199,173,275,2064,117,170,42,82,109,100,110,174,172,56/44
ACURA,RDX 4DR SUV AWD /TECH PACKAGE,07,459,187,166,265,1782,112,152,38,81,108,95,99,156,158,57/43
ACURA,RL 4DR SEDAN AWD /ELITE,05,493,185,145,279,1815,120,63,33,78,105,101,112,156,157,58/42
ACURA,TL /NAV PACKAGE/TYPE-S,07,481,192,144,274,1642,125,56,35,77,105,102,107,158,157,62/38
ACURA,TSX 4DR SEDAN FWD /NAV PACKAGE/TYPE-S,04,465,176,146,266,1488,121,49,36,81,106,95,104,151,150,60/40
ASTON MARTIN,DB9 2DR COUPE RWD,04,470,188,127,274,1760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,DB9 VOLANTE 2DR CONV RWD,05,470,188,127,274,1714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,DBS 2DR COUOPE RWD,08,472,188,128,274,1695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,V8 VANTAGE 2DR COUPE RWD,06,438,187,126,260,1630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,V8 VANTAGE ROADSTER 2DR CONV RWD,07,438,187,126,260,1710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AUDI,A3 4DR HATCH AWD,05,429,174,146,258,1660,104,137,34,77,100,89,85,152,148,60/40
AUDI,A3 4DR HATCH FWD,05,429,174,146,258,1480,104,137,34,77,100,89,85,152,148,60/40
AUDI,A4 4DR AVANT AWD WAGON 2.0T,05,459,178,143,265,1665,114,160,36,75,96,95,101,149,149,59/41
AUDI,A4 4DR AVANT AWD WAGON 3.2/S4,05,459,178,143,265,1710,114,160,36,75,96,95,101,149,149,59/41
AUDI,A4 4DR SEDAN AWD 2.0T,06,459,177,143,265,1660,116,49,37,76,101,94,101,150,150,58/42
AUDI,A4 4DR SEDAN AWD 3.2,06,459,177,143,265,1700,116,49,37,76,101,94,101,150,150,58/42
AUDI,A4 4DR SEDAN FWD 2.0T,06,459,177,143,265,1555,116,49,37,76,101,94,101,150,150,58/42
AUDI,A4 CABRIOLET 2DR CONV AWD 3.2,02,457,178,139,265,1850,119,89,33,77,118,92,101,151,151,59/41
AUDI,A4 CABRIOLET 2DR CONV AWD S4,02,457,178,139,265,1910,119,89,33,77,118,92,101,151,151,59/41
AUDI,A4 CABRIOLET 2DR CONV FWD 2.0T,02,457,178,139,265,1705,119,89,33,77,118,92,101,151,151,59/41
AUDI,A5 2DR COUOPE AWD,08,464,185,137,275,1497,124,48,33,77,111,88,101,157,157,N/A
AUDI,A6 3.2 4DR SEDAN AWD,05,492,186,146,284,1830,132,54,36,80,105,100,110,158,158,61/39
AUDI,A6 4.2 4DR SEDAN AWD,05,492,186,146,284,1915,132,54,36,80,105,100,110,158,158,61/39
AUDI,A6 4DR AVANT AWD WAGON 3.2,06,493,186,148,284,1890,130,164,37,79,107,100,110,156,158,56/44
AUDI,A6 S6 4DR SEDAN AWD,05,492,186,146,284,1975,132,54,36,80,105,100,110,158,158,61/39
AUDI,A8 4DR SEDAN AWD,05,506,190,144,294,1945,124,63,36,83,110,99,113,162,160,56/44
AUDI,A8 L 4DR SEDAN AWD,04,519,190,146,307,1995,131,61,35,81,112,99,113,160,159,56/44
AUDI,A8 L W12 4DR SEDAN AWD,04,519,190,146,307,2145,131,61,35,81,112,99,113,160,159,56/44
AUDI,A8 S8 4DR SEDAN AWD,05,506,190,144,294,2080,124,63,36,83,110,99,113,162,160,56/44
AUDI,Q7 4DR SUV AWD 3.6L,07,509,198,174,300,2290,124,186,39,88,106,97,112,163,165,50/50
AUDI,Q7 4DR SUV AWD 4.2L,07,509,198,174,300,2480,124,186,39,88,106,97,112,163,165,50/50
AUDI,R8 2DR COUPE AWD,08,443,190,125,265,1565,101,56,30,72,107,100,78,163,159,N/A
AUDI,S4 4DR SEDAN AWD,05,459,178,143,265,1755,116,50,36,75,100,94,101,150,150,60/40
AUDI,S4 AVANT 4DR WAGON AWD,06,459,177,145,265,1805,116,159,37,76,97,94,101,152,151,60/40
AUDI,S4 CABRIOLET 4DR CONV AWD,05,457,179,139,265,1910,115,81,32,77,119,91,101,152,151,53/47
AUDI,S5 2DR COUPE AWD,08,464,185,137,275,1765,124,49,33,77,111,89,102,157,155,N/A
AUDI,S6 4DR SEDAN AWD,07,492,186,145,284,2055,128,53,36,79,107,101,108,158,157,58/42
AUDI,S8 4DR SEDAN AWD,07,506,190,142,294,2080,124,63,36,83,110,99,113,162,160,56/44
AUDI,TT 2DR COUPE 2.0T,07,419,184,135,246,1257,108,40,27,78,111,90,82,156,153,61/39
AUDI,TT 2DR COUPE 3.2,07,419,184,135,246,1407,108,40,27,78,111,90,82,156,153,61/39
AUDI,TT ROADSTER 2DR CONVERTIBLE 2.0T,07,419,184,135,246,1313,108,N/A,27,78,N/A,90,82,156,153,61/39
AUDI,TT ROADSTER 2DR CONVERTIBLE 3.2,07,419,184,135,246,1345,108,N/A,27,78,N/A,90,82,156,153,61/39
BENTLEY,ARNAGE R 4DR SEDAN,99,539,193,152,312,2585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51/49
BENTLEY,ARNAGE RL 4DR SEDAN,99,564,193,152,337,2655,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51/49
BENTLEY,ARNAGE T 4DR SEDAN,99,540,193,152,312,2585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51/49
BENTLEY,AZURE 2DR CONVERTIBLE RWD,07,541,190,149,312,2695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTLEY,BROOKLANDS 2 DR COUPE RWD,08,541,190,147,312,2655,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTLEY,CONTINENTAL FLYING SPUR 4DR SEDAN AWD,06,531,196,148,307,2475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTLEY,CONTINENTAL GT/SPEED 2DR COUPE AWD,04,481,196,139,275,2385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52/48
BENTLEY,CONTINENTAL GTC 2DR COUPE AWD,07,480,196,140,275,2495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BMW,1 SERIES 128i 2DR COUPE RWD,08,436,175,141,266,1478,124,50,35,80,107,77,96,146,148,N/A
BMW,1 SERIES 135i 2DR COUPE RWD,08,436,175,141,266,1533,124,50,35,80,107,77,96,146,148,N/A
BMW,1 SERIES CABRIOLET 128i 2DR CONV RWD,08,436,175,141,266,1474,122,61,N/A,80,N/A,76,95,147,149,N/A
BMW,1 SERIES CABRIOLET 135i 2DR CONV RWD,08,436,175,141,266,1474,122,61,N/A,80,N/A,76,95,147,149,N/A
BMW,3 SERIES 323i/328i 4DR SEDAN RWD,06,453,182,142,276,1485,125,47,37,78,102,77,100,150,151,50/50
BMW,3 SERIES 335i 4DR SEDAN RWD,06,453,182,142,276,1630,125,47,37,78,102,77,100,150,151,50/50
BMW,3 SERIES CABRIOLET 328i RWD,07,459,178,138,276,1720,127,50,35,78,105,77,105,150,149,50/50
BMW,3 SERIES CABRIOLET 335i RWD,07,459,178,138,276,1790,126,67,34,78,121,78,106,149,150,50/50
